Project,Shape,Property Name,Property label,URI
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,'Ja (får ej ändras)',https://trafikverket.se/rgv/value/fasttext#ja,https://trafikverket.se/rgv/value/fasttext#ja
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,'Nej (kan ändras)',https://trafikverket.se/rgv/value/fasttext#nej,https://trafikverket.se/rgv/value/fasttext#nej
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,'Flytta till folder',,https://trafikverket.se/rgv/attribute/flyttaTfolder,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Bilder,https://clm.celeris.se/rm/types/AT_2lKJwLCWEe-SeK_m0lzPFg#_2WdUM1AUGyLFPv2V8GCaaw,https://clm.celeris.se/rm/types/AT_2lKJwLCWEe-SeK_m0lzPFg#_2WdUM1AUGyLFPv2V8GCaaw
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,'Förkortningar och Termer',https://clm.celeris.se/rm/types/AT_2lKJwLCWEe-SeK_m0lzPFg#_AHPsPv4vFNqDwH4tRCepzw,https://clm.celeris.se/rm/types/AT_2lKJwLCWEe-SeK_m0lzPFg#_AHPsPv4vFNqDwH4tRCepzw
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,'Krav och råd referenser',https://clm.celeris.se/rm/types/AT_2lKJwLCWEe-SeK_m0lzPFg#_vozAMpcjG0DB2_qKETjZWQ,https://clm.celeris.se/rm/types/AT_2lKJwLCWEe-SeK_m0lzPFg#_vozAMpcjG0DB2_qKETjZWQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Kravdokument,https://clm.celeris.se/rm/types/AT_2lKJwLCWEe-SeK_m0lzPFg#_bjawMNZwHC5OwAvD2GiozQ,https://clm.celeris.se/rm/types/AT_2lKJwLCWEe-SeK_m0lzPFg#_bjawMNZwHC5OwAvD2GiozQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Källdokument,https://clm.celeris.se/rm/types/AT_2lKJwLCWEe-SeK_m0lzPFg#_wu06SmlhFJmOBYWPu2oS2Q,https://clm.celeris.se/rm/types/AT_2lKJwLCWEe-SeK_m0lzPFg#_wu06SmlhFJmOBYWPu2oS2Q
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Papperskorg,https://clm.celeris.se/rm/types/AT_2lKJwLCWEe-SeK_m0lzPFg#_I4zNcon8F610FTh-7o2FCg,https://clm.celeris.se/rm/types/AT_2lKJwLCWEe-SeK_m0lzPFg#_I4zNcon8F610FTh-7o2FCg
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,ForeignCreatedBy,,http://jazz.net/ns/rm/dng/attribute#masterForeignCreatedBy,
